                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6573,                 1.6433,                 1.6115,                0.60808,                0.55699,                0.59762,                0.30489,                 1.6119,                 1.4949,                 1.6002,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.6433,                 1.6103,                 1.5966,                0.62065,                0.56485,                0.61592,                0.30822,                 1.6312,                 1.4148,                 1.6019,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.6133,                 1.6101,                 1.5828,                0.58511,                0.51842,                0.57054,                0.28592,                 1.6368,                 1.5876,                 1.6211,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.6184,                 1.5957,                 1.5838,                0.64993,                0.56502,                0.62163,                0.31886,                 1.5954,                 1.3984,                 1.5811,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.6271,                 1.5735,                 1.5701,                0.62587,                0.56091,                0.61294,                0.30961,                  1.605,                 1.4107,                 1.5738,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.6049,                 1.5666,                  1.567,                0.63396,                0.56651,                0.61719,                0.31757,                 1.5933,                 1.4044,                 1.5934,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.6105,                 1.5893,                 1.5725,                0.63304,                0.56052,                0.61803,                0.31382,                 1.5924,                 1.4264,                 1.5746,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.6148,                  1.571,                  1.574,                0.63885,                0.56838,                0.62692,                0.31973,                 1.5967,                 1.4204,                 1.5871,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.5753,                 1.5552,                 1.5534,                0.64268,                0.59484,                0.63615,                 0.3338,                  1.556,                 1.3855,                 1.5653,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.5902,                 1.5441,                 1.5589,                0.62906,                 0.5686,                0.62385,                0.32227,                 1.5753,                 1.3871,                 1.5718,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.5921,                 1.5491,                 1.5545,                0.64202,                0.59744,                 0.6427,                0.33703,                 1.5525,                 1.3623,                 1.5651,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.5974,                 1.5372,                  1.561,                0.65034,                0.58806,                0.64129,                0.33866,                  1.551,                 1.3486,                 1.5629,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.5778,                 1.5238,                 1.5537,                0.61846,                0.59903,                0.63197,                0.32823,                 1.5748,                 1.3566,                 1.5633,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.5795,                 1.5202,                 1.5586,                0.64006,                 0.6095,                 0.6577,                0.34874,                 1.5393,                 1.3115,                 1.5499,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.5864,                  1.524,                 1.5643,                0.66245,                0.60814,                0.66928,                0.36021,                 1.5147,                 1.3084,                  1.542,              0.0011389,              0.0011389,              0.0011389
                     50,                  1.581,                 1.5042,                 1.5526,                0.66348,                0.60679,                 0.6625,                0.34961,                 1.5507,                  1.304,                  1.573,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.5752,                 1.5001,                 1.5574,                0.65834,                0.62816,                0.67404,                0.35684,                 1.5303,                 1.2984,                 1.5449,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.5798,                 1.4813,                 1.5518,                0.65603,                0.61312,                  0.666,                0.35798,                 1.5191,                 1.2974,                 1.5255,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.5578,                 1.4738,                 1.5359,                0.65014,                 0.6221,                0.67209,                0.35707,                 1.5269,                  1.289,                 1.5306,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.5504,                 1.4941,                 1.5354,                0.68911,                0.62442,                0.68903,                0.36847,                 1.5239,                 1.2439,                 1.5242,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.5541,                 1.4664,                  1.531,                0.66381,                0.62552,                0.67752,                 0.3583,                 1.5248,                 1.2916,                 1.5263,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.5462,                 1.4548,                 1.5245,                0.64328,                0.62314,                0.66817,                0.35294,                 1.5322,                 1.2862,                 1.5297,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.5375,                  1.437,                 1.5172,                0.66341,                0.63014,                0.67672,                 0.3621,                 1.5006,                 1.2549,                 1.5144,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.5505,                 1.4667,                 1.5249,                0.66434,                0.63002,                0.68789,                 0.3722,                 1.5012,                 1.2358,                 1.5156,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.5506,                 1.4411,                 1.5256,                0.67146,                0.62614,                0.67626,                0.36585,                 1.5021,                 1.2953,                 1.5251,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.5393,                 1.4173,                 1.5175,                0.64687,                0.62545,                0.67607,                0.36509,                 1.5109,                 1.2677,                 1.5112,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.5393,                 1.4384,                 1.5175,                0.67838,                0.62818,                 0.6905,                0.38038,                 1.4711,                 1.2371,                 1.4923,              0.0010069,              0.0010069,              0.0010069
